gutenberg_id	text
6150	THE ILIAD OF HOMER
6150	""
6150	RENDERED INTO ENGLISH BLANK VERSE.
6150	BY
6150	""
6150	EDWARD EARL OF DERBY.
6150	""
6150	""
6150	""
6150	""
6150	PREFACE.
6150	""
6150	""
6150	In the spring of 1862 I was induced, at the request of some personal
6150	friends, to print, for private circulation only, a small volume of
6150	"""Translations of Poems Ancient and Modern,"" in which was included the"
6150	first Book of the Iliad. The opinions expressed by some competent
6150	"judges of the degree of success which had attended this ""attempt to"
6150	infuse into an almost literal English version something of the spirit,
6150	"as well as the simplicity, of the great original,"" [Footnote:"
6150	Introduction to unpublished volume.] were sufficiently favourable to
6150	encourage me to continue the work which I had begun. It has afforded
6150	me, in the intervals of more urgent business, an unfailing, and
6150	constantly increasing source of interest; and it is not without a
6150	feeling of regret at the completion of my task, and a sincere
6150	diffidence as to its success, that I venture to submit the result of my
6150	labour to the ordeal of public criticism.
6150	""
6150	Various causes, irrespective of any demerits of the work itself, forbid
6150	me to anticipate for this translation any extensive popularity. First,
6150	I fear that the taste for, and appreciation of, Classical Literature,
6150	are greatly on the decline; next, those who have kept up their
6150	classical studies, and are able to read and enjoy the original, will
6150	hardly take an interest in a mere translation; while the English
6150	reader, unacquainted with Greek, will naturally prefer the harmonious
6150	versification and polished brilliancy of Pope's translation; with
6150	which, as a happy adaptation of the Homeric story to the spirit of
6150	English poetry, I have not the presumption to enter into competition.
6150	But, admirable as it is, Pope's Iliad can hardly be said to be Homer's
6150	Iliad; and there may be some who, having lost the familiarity with the
6150	original language which they once possessed, may, if I have at all
6150	succeeded in my attempt, have recalled to their minds a faint echo of
6150	the strains which delighted their earlier days, and may recognize some
6150	slight trace of the original perfume.
6150	""
6150	Numerous as have been the translators of the Iliad, or of parts of it,
6150	the metres which have been selected have been almost as various: the
6150	ordinary couplet in rhyme, the Spenserian stanza, the Trochaic or
6150	"Ballad metre, all have had their partisans, even to that ""pestilent"
6150	"heresy"" of the so-called English Hexameter; a metre wholly repugnant to"
6150	the genius of our language; which can only be pressed into the service
6150	by a violation of every rule of prosody; and of which, notwithstanding
6150	my respect for the eminent men who have attempted to naturalize it, I
6150	could never read ten lines without being irresistibly reminded of
6150	Canning's
6150	""
6150	"   ""Dactylics call'st thou them? God help thee, silly one!"""
6150	""
6150	But in the progress of this work, I have been more and more confirmed
6150	in the opinion which I expressed at its commencement, that (whatever
6150	"may be the extent of my own individual failure) ""if justice is ever to"
6150	be done to the easy flow and majestic simplicity of the grand old Poet,
6150	"it can only be in the Heroic blank verse."" I have seen isolated"
6150	passages admirably rendered in other metres; and there are many
6150	instances in which a translation line for line and couplet for couplet
6150	naturally suggests itself, and in which it is sometimes difficult to
6150	avoid an involuntary rhyme; but the blank verse appears to me the only
6150	metre capable of adapting itself to all the gradations, if I may use
6150	the term, of the Homeric style; from the finished poetry of the
6150	numerous similes, in which every touch is nature, and nothing is
6150	overcoloured or exaggerated, down to the simple, almost homely, style
6150	of some portions of the narrative. Least of all can any other metre do
6150	full justice to the spirit and freedom of the various speeches, in
6150	which the old warriors give utterance, without disguise or restraint,
6150	to all their strong and genuine emotions. To subject these to the
6150	trammels of couplet and rhyme would be as destructive of their chief
6150	characteristics, as the application of a similar process to the
6150	Paradise Lost of Milton, or the tragedies of Shakespeare; the effect
6150	indeed may be seen by comparing, with some of the noblest speeches of
